GEOID,NAME,T2_EST1,T8_LE80,T8_LE50_CB_PCT,T8_LE80_CB_PCT,T8_LE30_CB_PCT,CB_RENT_LE80,CB_OWN_LE80,OWN_GAP_RATIO,AFF_DEFICIT,MED_HH_INC,POVERTY_PCT,UNEMP_PCT,CB_PCT,VACANCY_PCT,SFD_PCT,MED_HOME_VAL,HB_UNITS,OR_UNITS,TOTAL_UNITS,TOTAL_AMT_K,LOWMODPCT,LMI_ELIGIBLE,HAS_HOME_INVEST,HAS_HB_INVEST,NEED_SCORE,DISP_SCORE,INV_SCORE,LMI_SCORE
48439122802,Census Tract 1228.02,1705,1060,73.29,65.57,71.08,625,70,0.9,0.77,39306.0,33.26,11.44,43.12,10.16,57.53,154200.0,23.0,14.0,37.0,406.68,54.21,True,True,True,61.74,59.62,81.25,100.0
48439105902,Census Tract 1059.02,1210,1005,81.01,66.17,85.96,660,4,0.99,0.9,23425.0,44.37,8.44,55.67,17.64,11.44,85000.0,4.0,0.0,100.0,26.67,84.68,True,True,True,71.95,59.95,69.11,100.0
48439105514,Census Tract 1055.14,1700,1085,96.55,77.42,93.18,840,0,1.0,1.0,42577.0,11.2,4.33,54.53,10.99,0.52,,0.0,0.0,0.0,0.0,58.79,True,False,False,75.71,72.08,10.87,100.0
48439111526,Census Tract 1115.26,1740,775,60.95,47.1,70.18,220,150,0.59,0.43,61875.0,16.83,3.47,24.24,3.39,56.83,153800.0,14.0,1.0,16.0,105.13,50.07,False,True,True,46.06,47.76,58.24,68.72
48439111529,Census Tract 1115.29,1365,370,78.05,66.22,88.46,160,85,0.65,0.48,87222.0,7.38,6.17,27.01,3.46,79.86,207900.0,4.0,1.0,20.0,481.76,18.09,False,True,True,42.47,52.16,49.91,24.83
48439121606,Census Tract 1216.06,1340,290,86.21,70.69,100.0,10,195,0.05,0.36,105560.0,1.41,1.58,19.03,1.11,75.72,262400.0,3.0,0.0,3.0,26.58,15.12,False,True,True,44.39,35.96,32.25,20.75
48439114203,Census Tract 1142.03,1950,1045,70.83,46.41,75.44,235,245,0.49,0.42,56833.0,11.36,5.6,27.36,21.89,72.41,158900.0,3.0,7.0,10.0,122.06,33.96,False,True,True,52.42,19.01,39.58,46.61
48439113710,Census Tract 1137.10,1910,550,87.5,77.27,100.0,250,170,0.6,0.93,75993.0,6.12,6.49,27.58,1.39,57.69,241600.0,1.0,0.0,1.0,5.18,34.28,False,True,True,57.93,73.03,24.46,47.05
48439104701,Census Tract 1047.01,1385,1010,68.64,40.1,80.25,340,60,0.85,0.5,44083.0,22.69,10.51,28.98,4.08,91.77,73100.0,20.0,0.0,20.0,138.12,74.64,True,True,True,60.4,60.38,67.3,100.0
48439121905,Census Tract 1219.05,2275,1795,80.76,72.7,81.22,1280,25,0.98,0.98,24060.0,46.42,6.25,58.57,18.28,4.99,216700.0,0.0,0.0,0.0,0.0,79.07,True,False,False,73.33,62.86,10.87,100.0
48439113813,Census Tract 1138.13,1905,240,100.0,93.75,100.0,0,225,0.0,0.92,150685.0,0.89,6.94,21.7,0.57,99.9,364100.0,0.0,0.0,0.0,0.0,6.98,False,False,False,50.39,58.81,10.87,9.58
48439102601,Census Tract 1026.01,1705,1200,65.49,50.33,74.0,560,49,0.92,0.79,36469.0,18.78,6.92,37.79,9.11,41.43,150700.0,21.0,1.0,22.0,313.63,60.03,True,True,True,56.85,62.7,70.92,100.0
48439113919,Census Tract 1139.19,2365,465,92.5,72.04,100.0,10,325,0.03,0.22,120659.0,2.3,5.27,22.61,1.54,96.92,239700.0,3.0,0.0,3.0,18.0,8.1,False,True,True,53.79,31.27,32.25,11.12
48439113517,Census Tract 1135.17,1705,545,86.49,55.05,78.57,255,50,0.84,0.93,77500.0,6.17,2.24,21.51,3.56,32.84,274600.0,1.0,0.0,5.0,23.26,34.63,False,True,True,44.94,79.53,30.53,47.53
48439113218,Census Tract 1132.18,1265,250,87.2,81.6,100.0,60,144,0.29,0.59,112759.0,5.63,2.0,21.28,3.95,76.82,245300.0,0.0,0.0,0.0,0.0,10.5,False,False,False,49.83,43.59,10.87,14.41
48439113301,Census Tract 1133.01,1280,350,81.25,51.43,91.67,80,105,0.43,0.53,76604.0,0.78,1.38,16.04,8.84,86.66,178500.0,1.0,16.0,29.0,359.72,26.62,False,True,True,36.51,33.28,51.36,36.54
48439113408,Census Tract 1134.08,2085,990,77.23,57.58,88.89,195,380,0.34,0.38,52434.0,11.88,2.33,35.97,11.35,87.03,160600.0,35.0,42.0,77.0,897.98,51.73,True,True,True,61.91,19.43,93.12,100.0
48439113108,Census Tract 1131.08,1700,265,81.58,67.55,88.89,44,134,0.25,0.55,132500.0,7.14,1.97,20.02,0.0,95.17,267900.0,0.0,0.0,0.0,0.0,10.63,False,False,False,42.21,48.89,10.87,14.59
48439113116,Census Tract 1131.16,1920,1235,67.48,55.47,65.45,685,0,1.0,0.99,42690.0,13.44,10.38,38.99,15.71,5.44,261400.0,0.0,0.0,0.0,0.0,58.15,True,False,False,52.68,66.17,10.87,100.0
48439123100,Census Tract 1231,1050,855,73.23,63.74,84.85,300,245,0.55,0.58,26885.0,42.35,7.85,53.71,19.54,69.43,83100.0,65.0,22.0,92.0,2678.71,84.34,True,True,True,64.48,29.08,98.46,100.0
48439101302,Census Tract 1013.02,960,695,59.76,48.92,82.61,130,210,0.38,0.5,45160.0,41.0,8.06,35.52,5.97,81.49,98000.0,32.0,29.0,61.0,1285.58,75.04,True,True,True,54.3,36.53,89.13,100.0
